2026-04-14 01:02:00 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:00 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | shop/update
2026-04-14 01:02:00 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:02:00 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:00 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:01 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/paid
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:05 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:20 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:31 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:02:32 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:33 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:34 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:35 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:53 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:02:54 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:55 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:02:57 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:06:10 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:06:11 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:06:13 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:06:13 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:06:14 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:06:18 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:06:22 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:07:12 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:07:14 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:07:15 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:07:16 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:10:18 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:10:19 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:10:20 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:10:21 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:10:22 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:14:07 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:14:07 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:14:07 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/paid
2026-04-14 01:14:08 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:14:09 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:20:13 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:20:13 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:20:13 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/paid
2026-04-14 01:20:13 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:20:15 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:20:20 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:20:22 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:20:23 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:20:25 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:20:53 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | shop/update
2026-04-14 01:24:44 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:24:46 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:24:47 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:24:49 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:28:45 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:28:46 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:28:47 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:28:48 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:31:48 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | shop/update
2026-04-14 01:31:49 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:35:18 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:35:18 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:35:18 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:35:20 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:35:21 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:35:32 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:35:32 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:35:32 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/paid
2026-04-14 01:41:33 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 01:41:34 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:41:36 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:41:36 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 01:49:37 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 02:24:08 | error | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated | Logic error: App\Controllers\HaravanWebhookController::getOrCreateService(): Argument #1 ($item) must be of type array, string given, called in /www/wwwroot/ntt.eclo.io/app/Controllers/HaravanWebhookController.php on line 520
2026-04-14 02:26:00 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
